Year,Carrier,Late_Aircraft,National_Aviation_System,Security,Weather,Total Delay Hours
2004,121.3809144,168.6343981,217.7050116,1.394872708,30.34100694,539.4563426
2005,140.5591088,190.2683333,219.0606713,0.9278125,28.58543979,579.4014583
2006,159.854375,232.2679283,235.1112384,1.542407431,30.91761576,659.6936111
2007,186.4261806,271.3380672,255.233912,1.227430556,37.42622688,751.6520951
2008,157.4555324,228.0833797,238.0507639,0.789710625,30.69199076,655.0716088
2009,124.3152662,175.1268287,185.9938542,0.558009236,23.32697917,509.3210301
2010,125.8604283,177.2464931,146.9509028,0.733506944,19.82101854,470.6123958
2011,126.8092361,184.951088,140.3837037,0.576574097,18.93620368,471.6568981
2012,129.0880903,177.1831713,116.3325926,0.541851875,17.33980326,440.4856944
2013,146.4266203,222.7342361,153.9307755,0.792372708,21.23263889,545.1167361
2014,149.1112731,217.863912,147.7391551,0.464872708,22.93631944,538.115625
2015,151.1392245,192.4084606,131.4201505,0.593125,23.53228007,499.0933333
